data,capital,cenario,custo_projetado,modelo
2026-12-01,Aracaju,Conservador,579.03,Cenario-Inflacao
2027-01-01,Aracaju,Conservador,575.59,Cenario-Inflacao
2027-02-01,Aracaju,Conservador,572.97,Cenario-Inflacao
2027-03-01,Aracaju,Conservador,585.94,Cenario-Inflacao
2027-04-01,Aracaju,Conservador,604.91,Cenario-Inflacao
2027-05-01,Aracaju,Conservador,606.18,Cenario-Inflacao
2027-06-01,Aracaju,Conservador,608.63,Cenario-Inflacao
2027-07-01,Aracaju,Conservador,599.16,Cenario-Inflacao
2027-08-01,Aracaju,Conservador,591.86,Cenario-Inflacao
2027-09-01,Aracaju,Conservador,590.66,Cenario-Inflacao
2027-10-01,Aracaju,Conservador,597.98,Cenario-Inflacao
2027-11-01,Aracaju,Conservador,603.14,Cenario-Inflacao
2027-12-01,Aracaju,Conservador,613.77,Cenario-Inflacao
2028-01-01,Aracaju,Conservador,610.13,Cenario-Inflacao
2028-02-01,Aracaju,Conservador,607.35,Cenario-Inflacao
2028-03-01,Aracaju,Conservador,621.09,Cenario-Inflacao
2028-04-01,Aracaju,Conservador,641.2,Cenario-Inflacao
2028-05-01,Aracaju,Conservador,642.55,Cenario-Inflacao
2028-06-01,Aracaju,Conservador,645.15,Cenario-Inflacao
2028-07-01,Aracaju,Conservador,635.11,Cenario-Inflacao
2028-08-01,Aracaju,Conservador,627.37,Cenario-Inflacao
2028-09-01,Aracaju,Conservador,626.1,Cenario-Inflacao
2028-10-01,Aracaju,Conservador,633.85,Cenario-Inflacao
2028-11-01,Aracaju,Conservador,639.32,Cenario-Inflacao
2028-12-01,Aracaju,Conservador,650.6,Cenario-Inflacao
2029-01-01,Aracaju,Conservador,646.73,Cenario-Inflacao
2029-02-01,Aracaju,Conservador,643.79,Cenario-Inflacao
2029-03-01,Aracaju,Conservador,658.36,Cenario-Inflacao
2029-04-01,Aracaju,Conservador,679.67,Cenario-Inflacao
2029-05-01,Aracaju,Conservador,681.1,Cenario-Inflacao
2029-06-01,Aracaju,Conservador,683.86,Cenario-Inflacao
2029-07-01,Aracaju,Conservador,673.22,Cenario-Inflacao
2029-08-01,Aracaju,Conservador,665.01,Cenario-Inflacao
2029-09-01,Aracaju,Conservador,663.66,Cenario-Inflacao
2029-10-01,Aracaju,Conservador,671.89,Cenario-Inflacao
2029-11-01,Aracaju,Conservador,677.68,Cenario-Inflacao
2029-12-01,Aracaju,Conservador,689.63,Cenario-Inflacao
2030-01-01,Aracaju,Conservador,685.54,Cenario-Inflacao
2030-02-01,Aracaju,Conservador,682.42,Cenario-Inflacao
2030-03-01,Aracaju,Conservador,697.86,Cenario-Inflacao
2030-04-01,Aracaju,Conservador,720.45,Cenario-Inflacao
2030-05-01,Aracaju,Conservador,721.97,Cenario-Inflacao
2030-06-01,Aracaju,Conservador,724.89,Cenario-Inflacao
2030-07-01,Aracaju,Conservador,713.61,Cenario-Inflacao
2030-08-01,Aracaju,Conservador,704.91,Cenario-Inflacao
2030-09-01,Aracaju,Conservador,703.48,Cenario-Inflacao
2030-10-01,Aracaju,Conservador,712.2,Cenario-Inflacao
2030-11-01,Aracaju,Conservador,718.34,Cenario-Inflacao
2030-12-01,Aracaju,Conservador,731.01,Cenario-Inflacao
2026-04-01,Belo Horizonte,Otimista,751.27,Cenario-Inflacao
2026-05-01,Belo Horizonte,Otimista,753.36,Cenario-Inflacao
2026-06-01,Belo Horizonte,Otimista,728.73,Cenario-Inflacao
2026-07-01,Belo Horizonte,Otimista,722.94,Cenario-Inflacao
2026-08-01,Belo Horizonte,Otimista,726.23,Cenario-Inflacao
2026-09-01,Belo Horizonte,Otimista,732.62,Cenario-Inflacao
2026-10-01,Belo Horizonte,Otimista,748.03,Cenario-Inflacao
2026-11-01,Belo Horizonte,Otimista,765.44,Cenario-Inflacao
2026-12-01,Belo Horizonte,Otimista,777.03,Cenario-Inflacao
2027-01-01,Belo Horizonte,Otimista,775.5,Cenario-Inflacao
2027-02-01,Belo Horizonte,Otimista,757.13,Cenario-Inflacao
2027-03-01,Belo Horizonte,Otimista,756.54,Cenario-Inflacao
2027-04-01,Belo Horizonte,Otimista,773.81,Cenario-Inflacao
2027-05-01,Belo Horizonte,Otimista,775.96,Cenario-Inflacao
2027-06-01,Belo Horizonte,Otimista,750.59,Cenario-Inflacao
2027-07-01,Belo Horizonte,Otimista,744.62,Cenario-Inflacao
2027-08-01,Belo Horizonte,Otimista,748.02,Cenario-Inflacao
2027-09-01,Belo Horizonte,Otimista,754.6,Cenario-Inflacao
2027-10-01,Belo Horizonte,Otimista,770.47,Cenario-Inflacao
2027-11-01,Belo Horizonte,Otimista,788.4,Cenario-Inflacao
2027-12-01,Belo Horizonte,Otimista,800.34,Cenario-Inflacao
2028-01-01,Belo Horizonte,Otimista,798.77,Cenario-Inflacao
2028-02-01,Belo Horizonte,Otimista,779.85,Cenario-Inflacao
2028-03-01,Belo Horizonte,Otimista,779.24,Cenario-Inflacao
2028-04-01,Belo Horizonte,Otimista,797.02,Cenario-Inflacao
2028-05-01,Belo Horizonte,Otimista,799.24,Cenario-Inflacao
2028-06-01,Belo Horizonte,Otimista,773.11,Cenario-Inflacao
2028-07-01,Belo Horizonte,Otimista,766.96,Cenario-Inflacao
2028-08-01,Belo Horizonte,Otimista,770.46,Cenario-Inflacao
2028-09-01,Belo Horizonte,Otimista,777.23,Cenario-Inflacao
2028-10-01,Belo Horizonte,Otimista,793.58,Cenario-Inflacao
2028-11-01,Belo Horizonte,Otimista,812.06,Cenario-Inflacao
2028-12-01,Belo Horizonte,Otimista,824.35,Cenario-Inflacao
2029-01-01,Belo Horizonte,Otimista,822.73,Cenario-Inflacao
2029-02-01,Belo Horizonte,Otimista,803.24,Cenario-Inflacao
2029-03-01,Belo Horizonte,Otimista,802.61,Cenario-Inflacao
2029-04-01,Belo Horizonte,Otimista,820.93,Cenario-Inflacao
2029-05-01,Belo Horizonte,Otimista,823.21,Cenario-Inflacao
2029-06-01,Belo Horizonte,Otimista,796.3,Cenario-Inflacao
2029-07-01,Belo Horizonte,Otimista,789.97,Cenario-Inflacao
2029-08-01,Belo Horizonte,Otimista,793.57,Cenario-Inflacao
2029-09-01,Belo Horizonte,Otimista,800.55,Cenario-Inflacao
2029-10-01,Belo Horizonte,Otimista,817.39,Cenario-Inflacao
2029-11-01,Belo Horizonte,Otimista,836.42,Cenario-Inflacao
2029-12-01,Belo Horizonte,Otimista,849.08,Cenario-Inflacao
2030-01-01,Belo Horizonte,Otimista,847.41,Cenario-Inflacao
2030-02-01,Belo Horizonte,Otimista,827.34,Cenario-Inflacao
2030-03-01,Belo Horizonte,Otimista,826.69,Cenario-Inflacao
2030-04-01,Belo Horizonte,Otimista,845.56,Cenario-Inflacao
2030-05-01,Belo Horizonte,Otimista,847.91,Cenario-Inflacao
2030-06-01,Belo Horizonte,Otimista,820.19,Cenario-Inflacao
2030-07-01,Belo Horizonte,Otimista,813.67,Cenario-Inflacao
2030-08-01,Belo Horizonte,Otimista,817.38,Cenario-Inflacao
2030-09-01,Belo Horizonte,Otimista,824.57,Cenario-Inflacao
2030-10-01,Belo Horizonte,Otimista,841.91,Cenario-Inflacao
2030-11-01,Belo Horizonte,Otimista,861.51,Cenario-Inflacao
2030-12-01,Belo Horizonte,Otimista,874.56,Cenario-Inflacao
2026-04-01,Belo Horizonte,Moderado,752.18,Cenario-Inflacao
2026-05-01,Belo Horizonte,Moderado,755.17,Cenario-Inflacao
2026-06-01,Belo Horizonte,Moderado,731.37,Cenario-Inflacao
2026-07-01,Belo Horizonte,Moderado,726.43,Cenario-Inflacao
2026-08-01,Belo Horizonte,Moderado,730.62,Cenario-Inflacao
2026-09-01,Belo Horizonte,Moderado,737.93,Cenario-Inflacao
2026-10-01,Belo Horizonte,Moderado,754.36,Cenario-Inflacao
2026-11-01,Belo Horizonte,Moderado,772.85,Cenario-Inflacao
2026-12-01,Belo Horizonte,Moderado,785.5,Cenario-Inflacao
2027-01-01,Belo Horizonte,Moderado,784.9,Cenario-Inflacao
2027-02-01,Belo Horizonte,Moderado,767.23,Cenario-Inflacao
2027-03-01,Belo Horizonte,Moderado,767.56,Cenario-Inflacao
2027-04-01,Belo Horizonte,Moderado,786.03,Cenario-Inflacao
2027-05-01,Belo Horizonte,Moderado,789.16,Cenario-Inflacao
2027-06-01,Belo Horizonte,Moderado,764.28,Cenario-Inflacao
2027-07-01,Belo Horizonte,Moderado,759.12,Cenario-Inflacao
2027-08-01,Belo Horizonte,Moderado,763.5,Cenario-Inflacao
2027-09-01,Belo Horizonte,Moderado,771.14,Cenario-Inflacao
2027-10-01,Belo Horizonte,Moderado,788.31,Cenario-Inflacao
2027-11-01,Belo Horizonte,Moderado,807.63,Cenario-Inflacao
2027-12-01,Belo Horizonte,Moderado,820.85,Cenario-Inflacao
2028-01-01,Belo Horizonte,Moderado,820.22,Cenario-Inflacao
2028-02-01,Belo Horizonte,Moderado,801.76,Cenario-Inflacao
2028-03-01,Belo Horizonte,Moderado,802.1,Cenario-Inflacao
2028-04-01,Belo Horizonte,Moderado,821.4,Cenario-Inflacao
2028-05-01,Belo Horizonte,Moderado,824.67,Cenario-Inflacao
2028-06-01,Belo Horizonte,Moderado,798.67,Cenario-Inflacao
2028-07-01,Belo Horizonte,Moderado,793.28,Cenario-Inflacao
2028-08-01,Belo Horizonte,Moderado,797.86,Cenario-Inflacao
2028-09-01,Belo Horizonte,Moderado,805.84,Cenario-Inflacao
2028-10-01,Belo Horizonte,Moderado,823.78,Cenario-Inflacao
2028-11-01,Belo Horizonte,Moderado,843.98,Cenario-Inflacao
2028-12-01,Belo Horizonte,Moderado,857.79,Cenario-Inflacao
2029-01-01,Belo Horizonte,Moderado,857.13,Cenario-Inflacao
2029-02-01,Belo Horizonte,Moderado,837.84,Cenario-Inflacao
2029-03-01,Belo Horizonte,Moderado,838.19,Cenario-Inflacao
2029-04-01,Belo Horizonte,Moderado,858.36,Cenario-Inflacao
2029-05-01,Belo Horizonte,Moderado,861.78,Cenario-Inflacao
2029-06-01,Belo Horizonte,Moderado,834.61,Cenario-Inflacao
2029-07-01,Belo Horizonte,Moderado,828.98,Cenario-Inflacao
2029-08-01,Belo Horizonte,Moderado,833.76,Cenario-Inflacao
2029-09-01,Belo Horizonte,Moderado,842.1,Cenario-Inflacao
2029-10-01,Belo Horizonte,Moderado,860.85,Cenario-Inflacao
2029-11-01,Belo Horizonte,Moderado,881.96,Cenario-Inflacao
2029-12-01,Belo Horizonte,Moderado,896.39,Cenario-Inflacao
2030-01-01,Belo Horizonte,Moderado,895.71,Cenario-Inflacao
2030-02-01,Belo Horizonte,Moderado,875.54,Cenario-Inflacao
2030-03-01,Belo Horizonte,Moderado,875.91,Cenario-Inflacao
2030-04-01,Belo Horizonte,Moderado,896.99,Cenario-Inflacao
2030-05-01,Belo Horizonte,Moderado,900.56,Cenario-Inflacao
2030-06-01,Belo Horizonte,Moderado,872.17,Cenario-Inflacao
2030-07-01,Belo Horizonte,Moderado,866.28,Cenario-Inflacao
2030-08-01,Belo Horizonte,Moderado,871.28,Cenario-Inflacao
2030-09-01,Belo Horizonte,Moderado,880.0,Cenario-Inflacao
2030-10-01,Belo Horizonte,Moderado,899.59,Cenario-Inflacao
2030-11-01,Belo Horizonte,Moderado,921.64,Cenario-Inflacao
2030-12-01,Belo Horizonte,Moderado,936.73,Cenario-Inflacao
2026-04-01,Belo Horizonte,Conservador,753.07,Cenario-Inflacao
2026-05-01,Belo Horizonte,Conservador,756.97,Cenario-Inflacao
2026-06-01,Belo Horizonte,Conservador,733.98,Cenario-Inflacao
2026-07-01,Belo Horizonte,Conservador,729.89,Cenario-Inflacao
2026-08-01,Belo Horizonte,Conservador,734.97,Cenario-Inflacao
2026-09-01,Belo Horizonte,Conservador,743.21,Cenario-Inflacao
2026-10-01,Belo Horizonte,Conservador,760.66,Cenario-Inflacao
2026-11-01,Belo Horizonte,Conservador,780.23,Cenario-Inflacao
2026-12-01,Belo Horizonte,Conservador,793.95,Cenario-Inflacao
2027-01-01,Belo Horizonte,Conservador,794.28,Cenario-Inflacao
2027-02-01,Belo Horizonte,Conservador,777.32,Cenario-Inflacao
2027-03-01,Belo Horizonte,Conservador,778.58,Cenario-Inflacao
2027-04-01,Belo Horizonte,Conservador,798.26,Cenario-Inflacao
2027-05-01,Belo Horizonte,Conservador,802.39,Cenario-Inflacao
2027-06-01,Belo Horizonte,Conservador,778.02,Cenario-Inflacao
2027-07-01,Belo Horizonte,Conservador,773.68,Cenario-Inflacao
2027-08-01,Belo Horizonte,Conservador,779.07,Cenario-Inflacao
2027-09-01,Belo Horizonte,Conservador,787.8,Cenario-Inflacao
2027-10-01,Belo Horizonte,Conservador,806.3,Cenario-Inflacao
2027-11-01,Belo Horizonte,Conservador,827.05,Cenario-Inflacao
2027-12-01,Belo Horizonte,Conservador,841.58,Cenario-Inflacao
2028-01-01,Belo Horizonte,Conservador,841.94,Cenario-Inflacao
2028-02-01,Belo Horizonte,Conservador,823.96,Cenario-Inflacao
2028-03-01,Belo Horizonte,Conservador,825.29,Cenario-Inflacao
2028-04-01,Belo Horizonte,Conservador,846.15,Cenario-Inflacao
2028-05-01,Belo Horizonte,Conservador,850.53,Cenario-Inflacao
2028-06-01,Belo Horizonte,Conservador,824.7,Cenario-Inflacao
2028-07-01,Belo Horizonte,Conservador,820.1,Cenario-Inflacao
2028-08-01,Belo Horizonte,Conservador,825.82,Cenario-Inflacao
2028-09-01,Belo Horizonte,Conservador,835.07,Cenario-Inflacao
2028-10-01,Belo Horizonte,Conservador,854.68,Cenario-Inflacao
2028-11-01,Belo Horizonte,Conservador,876.67,Cenario-Inflacao
2028-12-01,Belo Horizonte,Conservador,892.08,Cenario-Inflacao
2029-01-01,Belo Horizonte,Conservador,892.45,Cenario-Inflacao
2029-02-01,Belo Horizonte,Conservador,873.4,Cenario-Inflacao
2029-03-01,Belo Horizonte,Conservador,874.81,Cenario-Inflacao
2029-04-01,Belo Horizonte,Conservador,896.92,Cenario-Inflacao
2029-05-01,Belo Horizonte,Conservador,901.56,Cenario-Inflacao
2029-06-01,Belo Horizonte,Conservador,874.18,Cenario-Inflacao
2029-07-01,Belo Horizonte,Conservador,869.31,Cenario-Inflacao
2029-08-01,Belo Horizonte,Conservador,875.36,Cenario-Inflacao
2029-09-01,Belo Horizonte,Conservador,885.17,Cenario-Inflacao
2029-10-01,Belo Horizonte,Conservador,905.96,Cenario-Inflacao
2029-11-01,Belo Horizonte,Conservador,929.27,Cenario-Inflacao
2029-12-01,Belo Horizonte,Conservador,945.6,Cenario-Inflacao
2030-01-01,Belo Horizonte,Conservador,946.0,Cenario-Inflacao
2030-02-01,Belo Horizonte,Conservador,925.8,Cenario-Inflacao
2030-03-01,Belo Horizonte,Conservador,927.3,Cenario-Inflacao
2030-04-01,Belo Horizonte,Conservador,950.74,Cenario-Inflacao
2030-05-01,Belo Horizonte,Conservador,955.66,Cenario-Inflacao
2030-06-01,Belo Horizonte,Conservador,926.63,Cenario-Inflacao
2030-07-01,Belo Horizonte,Conservador,921.47,Cenario-Inflacao
2030-08-01,Belo Horizonte,Conservador,927.89,Cenario-Inflacao
2030-09-01,Belo Horizonte,Conservador,938.28,Cenario-Inflacao
2030-10-01,Belo Horizonte,Conservador,960.32,Cenario-Inflacao
2030-11-01,Belo Horizonte,Conservador,985.03,Cenario-Inflacao
2030-12-01,Belo Horizonte,Conservador,1002.34,Cenario-Inflacao
2026-04-01,Belém,Otimista,676.92,Cenario-Inflacao
2026-05-01,Belém,Otimista,690.99,Cenario-Inflacao
2026-06-01,Belém,Otimista,689.73,Cenario-Inflacao
2026-07-01,Belém,Otimista,683.26,Cenario-Inflacao
2026-08-01,Belém,Otimista,679.84,Cenario-Inflacao
2026-09-01,Belém,Otimista,675.76,Cenario-Inflacao
2026-10-01,Belém,Otimista,677.54,Cenario-Inflacao
2026-11-01,Belém,Otimista,690.02,Cenario-Inflacao
2026-12-01,Belém,Otimista,701.12,Cenario-Inflacao
2027-01-01,Belém,Otimista,683.54,Cenario-Inflacao
2027-02-01,Belém,Otimista,680.4,Cenario-Inflacao
2027-03-01,Belém,Otimista,683.72,Cenario-Inflacao
2027-04-01,Belém,Otimista,697.22,Cenario-Inflacao
2027-05-01,Belém,Otimista,711.72,Cenario-Inflacao
2027-06-01,Belém,Otimista,710.42,Cenario-Inflacao
2027-07-01,Belém,Otimista,703.76,Cenario-Inflacao
2027-08-01,Belém,Otimista,700.24,Cenario-Inflacao
2027-09-01,Belém,Otimista,696.03,Cenario-Inflacao
2027-10-01,Belém,Otimista,697.87,Cenario-Inflacao
2027-11-01,Belém,Otimista,710.72,Cenario-Inflacao
2027-12-01,Belém,Otimista,722.15,Cenario-Inflacao
2028-01-01,Belém,Otimista,704.05,Cenario-Inflacao
2028-02-01,Belém,Otimista,700.81,Cenario-Inflacao
2028-03-01,Belém,Otimista,704.23,Cenario-Inflacao
2028-04-01,Belém,Otimista,718.14,Cenario-Inflacao
2028-05-01,Belém,Otimista,733.07,Cenario-Inflacao
2028-06-01,Belém,Otimista,731.73,Cenario-Inflacao
2028-07-01,Belém,Otimista,724.87,Cenario-Inflacao
2028-08-01,Belém,Otimista,721.25,Cenario-Inflacao
2028-09-01,Belém,Otimista,716.91,Cenario-Inflacao
2028-10-01,Belém,Otimista,718.8,Cenario-Inflacao
2028-11-01,Belém,Otimista,732.04,Cenario-Inflacao
2028-12-01,Belém,Otimista,743.81,Cenario-Inflacao
2029-01-01,Belém,Otimista,725.17,Cenario-Inflacao
2029-02-01,Belém,Otimista,721.84,Cenario-Inflacao
2029-03-01,Belém,Otimista,725.36,Cenario-Inflacao
2029-04-01,Belém,Otimista,739.68,Cenario-Inflacao
2029-05-01,Belém,Otimista,755.06,Cenario-Inflacao
2029-06-01,Belém,Otimista,753.68,Cenario-Inflacao
2029-07-01,Belém,Otimista,746.62,Cenario-Inflacao
2029-08-01,Belém,Otimista,742.88,Cenario-Inflacao
2029-09-01,Belém,Otimista,738.42,Cenario-Inflacao
2029-10-01,Belém,Otimista,740.37,Cenario-Inflacao
2029-11-01,Belém,Otimista,754.0,Cenario-Inflacao
2029-12-01,Belém,Otimista,766.13,Cenario-Inflacao
2030-01-01,Belém,Otimista,746.92,Cenario-Inflacao
2030-02-01,Belém,Otimista,743.49,Cenario-Inflacao
2030-03-01,Belém,Otimista,747.12,Cenario-Inflacao
2030-04-01,Belém,Otimista,761.87,Cenario-Inflacao
2030-05-01,Belém,Otimista,777.71,Cenario-Inflacao
2030-06-01,Belém,Otimista,776.29,Cenario-Inflacao
2030-07-01,Belém,Otimista,769.02,Cenario-Inflacao
2030-08-01,Belém,Otimista,765.17,Cenario-Inflacao
2030-09-01,Belém,Otimista,760.57,Cenario-Inflacao
2030-10-01,Belém,Otimista,762.58,Cenario-Inflacao
2030-11-01,Belém,Otimista,776.62,Cenario-Inflacao
2030-12-01,Belém,Otimista,789.11,Cenario-Inflacao
2026-04-01,Belém,Moderado,677.73,Cenario-Inflacao
2026-05-01,Belém,Moderado,692.65,Cenario-Inflacao
2026-06-01,Belém,Moderado,692.22,Cenario-Inflacao
2026-07-01,Belém,Moderado,686.56,Cenario-Inflacao
2026-08-01,Belém,Moderado,683.95,Cenario-Inflacao
2026-09-01,Belém,Moderado,680.66,Cenario-Inflacao
2026-10-01,Belém,Moderado,683.28,Cenario-Inflacao
2026-11-01,Belém,Moderado,696.7,Cenario-Inflacao
2026-12-01,Belém,Moderado,708.76,Cenario-Inflacao
2027-01-01,Belém,Moderado,691.83,Cenario-Inflacao
2027-02-01,Belém,Moderado,689.48,Cenario-Inflacao
2027-03-01,Belém,Moderado,693.67,Cenario-Inflacao
