data,capital,custo
2025-05-01,Brasília,774.33
2025-06-01,Brasília,773.35
2025-07-01,Brasília,758.19
2025-08-01,Brasília,739.1
2025-09-01,Brasília,719.81
2025-10-01,Brasília,717.65
2025-11-01,Brasília,703.4
2025-12-01,Brasília,714.21
2026-01-01,Brasília,725.98
2026-02-01,Brasília,712.06
2026-03-01,Brasília,746.41
2020-01-01,Campo Grande,458.0
2020-02-01,Campo Grande,445.4
2020-03-01,Campo Grande,474.53
2020-04-01,Campo Grande,495.69
2020-05-01,Campo Grande,455.35
2020-06-01,Campo Grande,475.01
2020-07-01,Campo Grande,479.79
2020-08-01,Campo Grande,484.46
2020-09-01,Campo Grande,492.8
2020-10-01,Campo Grande,520.12
2020-11-01,Campo Grande,589.08
2020-12-01,Campo Grande,576.48
2021-01-01,Campo Grande,578.62
2021-02-01,Campo Grande,551.58
2021-03-01,Campo Grande,552.99
2021-04-01,Campo Grande,586.26
2021-05-01,Campo Grande,575.01
2021-06-01,Campo Grande,566.78
2021-07-01,Campo Grande,588.84
2021-08-01,Campo Grande,609.33
2021-09-01,Campo Grande,630.83
2021-10-01,Campo Grande,653.4
2021-11-01,Campo Grande,645.17
2021-12-01,Campo Grande,641.37
2022-01-01,Campo Grande,660.11
2022-02-01,Campo Grande,678.43
2022-03-01,Campo Grande,715.81
2022-04-01,Campo Grande,761.73
2022-05-01,Campo Grande,706.12
2022-06-01,Campo Grande,702.65
2022-07-01,Campo Grande,707.0
2022-08-01,Campo Grande,698.31
2022-09-01,Campo Grande,711.09
2022-10-01,Campo Grande,733.65
2022-11-01,Campo Grande,738.53
2022-12-01,Campo Grande,744.21
2023-01-01,Campo Grande,743.09
2023-02-01,Campo Grande,719.94
2023-03-01,Campo Grande,719.15
2023-04-01,Campo Grande,737.74
2023-05-01,Campo Grande,724.09
2023-06-01,Campo Grande,730.19
2023-07-01,Campo Grande,698.31
2023-08-01,Campo Grande,691.7
2023-09-01,Campo Grande,675.68
2023-10-01,Campo Grande,682.97
2023-11-01,Campo Grande,674.79
2023-12-01,Campo Grande,697.69
2024-01-01,Campo Grande,736.76
2024-02-01,Campo Grande,748.2
2024-03-01,Campo Grande,730.02
2024-04-01,Campo Grande,732.75
2024-05-01,Campo Grande,748.48
2024-06-01,Campo Grande,748.89
2024-07-01,Campo Grande,736.98
2024-08-01,Campo Grande,714.6
2024-09-01,Campo Grande,714.63
2024-10-01,Campo Grande,751.06
2024-11-01,Campo Grande,772.45
2024-12-01,Campo Grande,770.35
2025-01-01,Campo Grande,764.24
2025-02-01,Campo Grande,773.95
2025-03-01,Campo Grande,788.58
2025-04-01,Campo Grande,805.08
2025-05-01,Campo Grande,789.42
2025-06-01,Campo Grande,793.02
2025-07-01,Campo Grande,775.76
2025-08-01,Campo Grande,768.79
2025-09-01,Campo Grande,780.67
2025-10-01,Campo Grande,777.28
2025-11-01,Campo Grande,779.56
2025-12-01,Campo Grande,775.9
2026-01-01,Campo Grande,783.41
2026-02-01,Campo Grande,780.29
2026-03-01,Campo Grande,805.93
2025-04-01,Cuiabá,800.11
2025-05-01,Cuiabá,810.69
2025-06-01,Cuiabá,817.63
2025-07-01,Cuiabá,813.48
2025-08-01,Cuiabá,800.22
2025-09-01,Cuiabá,794.03
2025-10-01,Cuiabá,794.77
2025-11-01,Cuiabá,789.98
2025-12-01,Cuiabá,791.29
2026-01-01,Cuiabá,810.82
2026-02-01,Cuiabá,793.77
2026-03-01,Cuiabá,838.4
2020-01-01,Curitiba,452.32
2020-02-01,Curitiba,447.91
2020-03-01,Curitiba,465.47
2020-04-01,Curitiba,511.23
2020-05-01,Curitiba,531.27
2020-06-01,Curitiba,506.04
2020-07-01,Curitiba,526.14
2020-08-01,Curitiba,505.54
2020-09-01,Curitiba,524.25
2020-10-01,Curitiba,521.12
2020-11-01,Curitiba,547.29
2020-12-01,Curitiba,540.36
2021-01-01,Curitiba,559.73
2021-02-01,Curitiba,572.77
2021-03-01,Curitiba,577.17
2021-04-01,Curitiba,583.61
2021-05-01,Curitiba,608.89
2021-06-01,Curitiba,618.57
2021-07-01,Curitiba,619.83
2021-08-01,Curitiba,600.47
2021-09-01,Curitiba,610.85
2021-10-01,Curitiba,639.89
2021-11-01,Curitiba,638.96
2021-12-01,Curitiba,628.46
2022-01-01,Curitiba,636.57
2022-02-01,Curitiba,652.9
2022-03-01,Curitiba,701.59
2022-04-01,Curitiba,739.28
2022-05-01,Curitiba,713.68
2022-06-01,Curitiba,701.26
2022-07-01,Curitiba,688.78
2022-08-01,Curitiba,685.69
2022-09-01,Curitiba,678.73
2022-10-01,Curitiba,696.31
2022-11-01,Curitiba,709.84
2022-12-01,Curitiba,698.66
2023-01-01,Curitiba,695.18
2023-02-01,Curitiba,678.9
2023-03-01,Curitiba,679.76
2023-04-01,Curitiba,694.05
2023-05-01,Curitiba,703.83
2023-06-01,Curitiba,701.22
2023-07-01,Curitiba,690.31
2023-08-01,Curitiba,685.13
2023-09-01,Curitiba,681.23
2023-10-01,Curitiba,675.01
2023-11-01,Curitiba,683.44
2023-12-01,Curitiba,697.22
2024-01-01,Curitiba,726.23
2024-02-01,Curitiba,731.5
2024-03-01,Curitiba,728.06
2024-04-01,Curitiba,726.64
2024-05-01,Curitiba,741.46
2024-06-01,Curitiba,754.91
2024-07-01,Curitiba,718.32
2024-08-01,Curitiba,697.08
2024-09-01,Curitiba,698.44
2024-10-01,Curitiba,726.62
2024-11-01,Curitiba,739.4
2024-12-01,Curitiba,741.9
2025-01-01,Curitiba,743.69
2025-02-01,Curitiba,745.88
2025-03-01,Curitiba,772.83
2025-04-01,Curitiba,793.72
2025-05-01,Curitiba,791.39
2025-06-01,Curitiba,789.86
2025-07-01,Curitiba,770.93
2025-08-01,Curitiba,752.7
2025-09-01,Curitiba,755.56
2025-10-01,Curitiba,761.77
2025-11-01,Curitiba,745.59
2025-12-01,Curitiba,737.88
2026-01-01,Curitiba,748.05
2026-02-01,Curitiba,745.56
2026-03-01,Curitiba,769.61
2020-01-01,Florianópolis,489.13
2020-02-01,Florianópolis,493.15
2020-03-01,Florianópolis,517.13
2020-04-01,Florianópolis,523.8
2020-05-01,Florianópolis,524.07
2020-06-01,Florianópolis,516.97
2020-07-01,Florianópolis,522.03
2020-08-01,Florianópolis,530.42
2020-09-01,Florianópolis,582.4
2020-10-01,Florianópolis,584.76
2020-11-01,Florianópolis,616.98
2020-12-01,Florianópolis,615.57
2021-01-01,Florianópolis,651.37
2021-02-01,Florianópolis,639.81
2021-03-01,Florianópolis,632.75
2021-04-01,Florianópolis,634.53
2021-05-01,Florianópolis,636.37
2021-06-01,Florianópolis,645.38
2021-07-01,Florianópolis,654.43
2021-08-01,Florianópolis,659.0
2021-09-01,Florianópolis,662.85
2021-10-01,Florianópolis,700.69
2021-11-01,Florianópolis,710.53
2021-12-01,Florianópolis,689.56
2022-01-01,Florianópolis,695.59
2022-02-01,Florianópolis,707.56
2022-03-01,Florianópolis,745.47
2022-04-01,Florianópolis,788.0
2022-05-01,Florianópolis,772.07
2022-06-01,Florianópolis,760.41
2022-07-01,Florianópolis,753.73
2022-08-01,Florianópolis,746.21
2022-09-01,Florianópolis,746.55
2022-10-01,Florianópolis,753.82
2022-11-01,Florianópolis,776.14
2022-12-01,Florianópolis,769.19
2023-01-01,Florianópolis,760.65
2023-02-01,Florianópolis,746.95
2023-03-01,Florianópolis,742.23
2023-04-01,Florianópolis,769.35
2023-05-01,Florianópolis,765.13
2023-06-01,Florianópolis,771.54
2023-07-01,Florianópolis,746.66
2023-08-01,Florianópolis,743.94
2023-09-01,Florianópolis,747.64
2023-10-01,Florianópolis,738.77
2023-11-01,Florianópolis,747.59
2023-12-01,Florianópolis,758.5
2024-01-01,Florianópolis,800.31
2024-02-01,Florianópolis,783.36
2024-03-01,Florianópolis,791.21
2024-04-01,Florianópolis,781.53
2024-05-01,Florianópolis,801.03
2024-06-01,Florianópolis,816.06
2024-07-01,Florianópolis,782.73
2024-08-01,Florianópolis,756.31
2024-09-01,Florianópolis,768.33
2024-10-01,Florianópolis,796.94
2024-11-01,Florianópolis,799.62
2024-12-01,Florianópolis,809.46
2025-01-01,Florianópolis,808.75
2025-02-01,Florianópolis,807.71
2025-03-01,Florianópolis,831.92
2025-04-01,Florianópolis,858.2
2025-05-01,Florianópolis,858.93
2025-06-01,Florianópolis,867.83
2025-07-01,Florianópolis,844.89
2025-08-01,Florianópolis,823.11
2025-09-01,Florianópolis,811.07
2025-10-01,Florianópolis,824.57
2025-11-01,Florianópolis,800.68
2025-12-01,Florianópolis,801.29
2026-01-01,Florianópolis,806.33
2026-02-01,Florianópolis,797.53
2026-03-01,Florianópolis,824.35
2020-01-01,Fortaleza,433.39
2020-02-01,Fortaleza,462.99
2020-03-01,Fortaleza,475.11
2020-04-01,Fortaleza,482.46
2020-05-01,Fortaleza,455.18
2020-06-01,Fortaleza,464.31
2020-07-01,Fortaleza,454.74
2020-08-01,Fortaleza,462.13
2020-09-01,Fortaleza,485.75
2020-10-01,Fortaleza,510.54
2020-11-01,Fortaleza,539.33
2020-12-01,Fortaleza,534.96
2021-01-01,Fortaleza,532.97
2021-02-01,Fortaleza,523.46
2021-03-01,Fortaleza,517.05
2021-04-01,Fortaleza,525.26
2021-05-01,Fortaleza,532.21
2021-06-01,Fortaleza,541.61
2021-07-01,Fortaleza,562.82
2021-08-01,Fortaleza,552.24
2021-09-01,Fortaleza,552.09
2021-10-01,Fortaleza,563.96
2021-11-01,Fortaleza,580.36
2021-12-01,Fortaleza,579.06
2022-01-01,Fortaleza,607.35
2022-02-01,Fortaleza,609.6
2022-03-01,Fortaleza,635.02
2022-04-01,Fortaleza,647.63
2022-05-01,Fortaleza,628.46
2022-06-01,Fortaleza,657.0
2022-07-01,Fortaleza,641.46
2022-08-01,Fortaleza,626.98
2022-09-01,Fortaleza,620.87
2022-10-01,Fortaleza,622.57
2022-11-01,Fortaleza,630.67
2022-12-01,Fortaleza,653.99
2023-01-01,Fortaleza,679.81
2023-02-01,Fortaleza,671.32
2023-03-01,Fortaleza,647.92
2023-04-01,Fortaleza,669.79
2023-05-01,Fortaleza,672.66
2023-06-01,Fortaleza,661.16
2023-07-01,Fortaleza,661.5
2023-08-01,Fortaleza,642.68
2023-09-01,Fortaleza,640.48
2023-10-01,Fortaleza,648.93
2023-11-01,Fortaleza,639.91
2023-12-01,Fortaleza,630.38
2024-01-01,Fortaleza,618.32
2024-02-01,Fortaleza,627.67
2024-03-01,Fortaleza,663.22
2024-04-01,Fortaleza,714.68
2024-05-01,Fortaleza,709.9
2024-06-01,Fortaleza,697.33
2024-07-01,Fortaleza,677.53
2024-08-01,Fortaleza,630.48
2024-09-01,Fortaleza,615.92
2024-10-01,Fortaleza,641.34
2024-11-01,Fortaleza,663.95
2024-12-01,Fortaleza,673.77
2025-01-01,Fortaleza,700.44
2025-02-01,Fortaleza,710.66
2025-03-01,Fortaleza,727.46
2025-04-01,Fortaleza,746.52
2025-05-01,Fortaleza,728.49
2025-06-01,Fortaleza,735.11
2025-07-01,Fortaleza,738.09
2025-08-01,Fortaleza,723.06
2025-09-01,Fortaleza,677.42
2025-10-01,Fortaleza,686.78
2025-11-01,Fortaleza,670.63
2025-12-01,Fortaleza,677.0
2026-01-01,Fortaleza,694.06
2026-02-01,Fortaleza,692.99
2026-03-01,Fortaleza,727.9
2020-01-01,Goiânia,455.08
2020-02-01,Goiânia,448.62
2020-03-01,Goiânia,456.18
2020-04-01,Goiânia,493.21
2020-05-01,Goiânia,505.99
2020-06-01,Goiânia,480.78
2020-07-01,Goiânia,472.86
2020-08-01,Goiânia,483.15
2020-09-01,Goiânia,510.52
2020-10-01,Goiânia,537.61
2020-11-01,Goiânia,557.46
2020-12-01,Goiânia,563.8
2021-01-01,Goiânia,574.76
2021-02-01,Goiânia,560.67
2021-03-01,Goiânia,552.05
2021-04-01,Goiânia,556.27
2021-05-01,Goiânia,564.04
2021-06-01,Goiânia,551.49
2021-07-01,Goiânia,562.13
2021-08-01,Goiânia,565.4
2021-09-01,Goiânia,574.08
2021-10-01,Goiânia,591.78
2021-11-01,Goiânia,599.64
2021-12-01,Goiânia,597.24
2022-01-01,Goiânia,624.91
2022-02-01,Goiânia,641.09
2022-03-01,Goiânia,663.48
2022-04-01,Goiânia,682.87
2022-05-01,Goiânia,674.63
2022-06-01,Goiânia,674.08
2022-07-01,Goiânia,672.91
2022-08-01,Goiânia,660.83
2022-09-01,Goiânia,658.7
2022-10-01,Goiânia,675.79
2022-11-01,Goiânia,689.49
2022-12-01,Goiânia,704.63
2023-01-01,Goiânia,710.62
2023-02-01,Goiânia,695.18
2023-03-01,Goiânia,680.92
2023-04-01,Goiânia,704.94
2023-05-01,Goiânia,704.89
2023-06-01,Goiânia,669.39
2023-07-01,Goiânia,657.71
2023-08-01,Goiânia,641.53
2023-09-01,Goiânia,630.95
2023-10-01,Goiânia,636.07
2023-11-01,Goiânia,648.59
2023-12-01,Goiânia,669.36
2024-01-01,Goiânia,710.7
2024-02-01,Goiânia,707.81
2024-03-01,Goiânia,703.57
2024-04-01,Goiânia,701.01
2024-05-01,Goiânia,704.51
2024-06-01,Goiânia,711.43
2024-07-01,Goiânia,695.98
2024-08-01,Goiânia,667.87
2024-09-01,Goiânia,672.93
2024-10-01,Goiânia,695.37
2024-11-01,Goiânia,727.65
2024-12-01,Goiânia,732.5
2025-01-01,Goiânia,756.92
2025-02-01,Goiânia,739.34
2025-03-01,Goiânia,754.06
2025-04-01,Goiânia,767.43
2025-05-01,Goiânia,758.67
2025-06-01,Goiânia,744.27
2025-07-01,Goiânia,735.18
2025-08-01,Goiânia,718.94
2025-09-01,Goiânia,710.52
2025-10-01,Goiânia,720.57
2025-11-01,Goiânia,717.39
2025-12-01,Goiânia,725.95
2026-01-01,Goiânia,735.94
2026-02-01,Goiânia,731.34
2026-03-01,Goiânia,760.44
2020-01-01,João Pessoa,388.02
2020-02-01,João Pessoa,403.98
2020-03-01,João Pessoa,414.05
2020-04-01,João Pessoa,437.93
2020-05-01,João Pessoa,440.25
2020-06-01,João Pessoa,430.44
2020-07-01,João Pessoa,417.75
2020-08-01,João Pessoa,414.5
2020-09-01,João Pessoa,432.04
2020-10-01,João Pessoa,449.97
2020-11-01,João Pessoa,454.85
2020-12-01,João Pessoa,475.19
2021-01-01,João Pessoa,471.87
2021-02-01,João Pessoa,484.54
2021-03-01,João Pessoa,478.52
2021-04-01,João Pessoa,490.04
2021-05-01,João Pessoa,491.63
2021-06-01,João Pessoa,495.76
2021-07-01,João Pessoa,492.3
2021-08-01,João Pessoa,490.93
2021-09-01,João Pessoa,476.63
2021-10-01,João Pessoa,491.12
2021-11-01,João Pessoa,508.91
2021-12-01,João Pessoa,510.82
2022-01-01,João Pessoa,538.65
2022-02-01,João Pessoa,549.33
2022-03-01,João Pessoa,567.84
2022-04-01,João Pessoa,573.7
2022-05-01,João Pessoa,567.67
2022-06-01,João Pessoa,586.73
2022-07-01,João Pessoa,572.63
2022-08-01,João Pessoa,568.21
2022-09-01,João Pessoa,562.32
2022-10-01,João Pessoa,559.57
2022-11-01,João Pessoa,552.43
2022-12-01,João Pessoa,561.84
2023-01-01,João Pessoa,600.06
2023-02-01,João Pessoa,600.1
2023-03-01,João Pessoa,579.57
2023-04-01,João Pessoa,585.42
2023-05-01,João Pessoa,580.95
2023-06-01,João Pessoa,604.89
2023-07-01,João Pessoa,581.31
2023-08-01,João Pessoa,565.07
2023-09-01,João Pessoa,562.6
2023-10-01,João Pessoa,554.88
2023-11-01,João Pessoa,548.33
2023-12-01,João Pessoa,542.3
2024-01-01,João Pessoa,559.77
2024-02-01,João Pessoa,564.5
2024-03-01,João Pessoa,583.23
2024-04-01,João Pessoa,614.75
2024-05-01,João Pessoa,620.67
2024-06-01,João Pessoa,597.32
2024-07-01,João Pessoa,572.38
2024-08-01,João Pessoa,548.9
2024-09-01,João Pessoa,552.35
2024-10-01,João Pessoa,566.46
2024-11-01,João Pessoa,590.82
2024-12-01,João Pessoa,606.91
2025-01-01,João Pessoa,618.64
2025-02-01,João Pessoa,634.41
2025-03-01,João Pessoa,626.89
2025-04-01,João Pessoa,641.57
2025-05-01,João Pessoa,636.73
2025-06-01,João Pessoa,636.16
2025-07-01,João Pessoa,648.0
2025-08-01,João Pessoa,622.08
2025-09-01,João Pessoa,610.93
2025-10-01,João Pessoa,609.94
2025-11-01,João Pessoa,597.66
2025-12-01,João Pessoa,597.66
2026-01-01,João Pessoa,606.39
2026-02-01,João Pessoa,618.73
2026-03-01,João Pessoa,652.95
2025-04-01,Macapá,660.52
2025-05-01,Macapá,669.59
2025-06-01,Macapá,665.13
2025-07-01,Macapá,666.41
2025-08-01,Macapá,672.5
2025-09-01,Macapá,672.72
2025-10-01,Macapá,679.09
2025-11-01,Macapá,643.25
2025-12-01,Macapá,651.15
2026-01-01,Macapá,661.96
2026-02-01,Macapá,660.76
2026-03-01,Macapá,672.06
2025-04-01,Maceió,622.57
2025-05-01,Maceió,616.92
2025-06-01,Maceió,609.04
2025-07-01,Maceió,621.74
2025-08-01,Maceió,596.23
2025-09-01,Maceió,593.17
2025-10-01,Maceió,592.25
2025-11-01,Maceió,571.47
2025-12-01,Maceió,589.69
2026-01-01,Maceió,592.83
2026-02-01,Maceió,603.92
2026-03-01,Maceió,644.77
2025-04-01,Manaus,671.77
2025-05-01,Manaus,699.95
2025-06-01,Manaus,675.25
2025-07-01,Manaus,674.78
2025-08-01,Manaus,657.22
2025-09-01,Manaus,642.32
2025-10-01,Manaus,633.25
2025-11-01,Manaus,629.39
