data,capital,estado,regiao,custo
2023-07-01,Aracaju,SE,Nordeste,636.97
2023-08-01,Aracaju,SE,Nordeste,663.69
2023-09-01,Aracaju,SE,Nordeste,669.68
2023-10-01,Aracaju,SE,Nordeste,665.91
2023-11-01,Aracaju,SE,Nordeste,654.48
2023-12-01,Aracaju,SE,Nordeste,676.94
2024-01-01,Aracaju,SE,Nordeste,679.13
2024-02-01,Aracaju,SE,Nordeste,674.22
2024-03-01,Aracaju,SE,Nordeste,665.55
2024-04-01,Aracaju,SE,Nordeste,662.44
2024-05-01,Aracaju,SE,Nordeste,668.99
2024-06-01,Aracaju,SE,Nordeste,680.26
2024-07-01,Aracaju,SE,Nordeste,673.04
2024-08-01,Aracaju,SE,Nordeste,696.84
2024-09-01,Aracaju,SE,Nordeste,688.74
2024-10-01,Aracaju,SE,Nordeste,687.05
2024-11-01,Aracaju,SE,Nordeste,704.47
2024-12-01,Aracaju,SE,Nordeste,688.97
2025-01-01,Aracaju,SE,Nordeste,702.28
2025-02-01,Aracaju,SE,Nordeste,728.42
2025-03-01,Aracaju,SE,Nordeste,722.16
2025-04-01,Aracaju,SE,Nordeste,695.58
2025-05-01,Aracaju,SE,Nordeste,701.78
2025-06-01,Aracaju,SE,Nordeste,706.61
2025-07-01,Aracaju,SE,Nordeste,718.77
2025-08-01,Aracaju,SE,Nordeste,717.88
2025-09-01,Aracaju,SE,Nordeste,723.84
2025-10-01,Aracaju,SE,Nordeste,730.92
2025-11-01,Aracaju,SE,Nordeste,721.85
2025-12-01,Aracaju,SE,Nordeste,730.75
2026-01-01,Aracaju,SE,Nordeste,736.97
2026-02-01,Aracaju,SE,Nordeste,751.66
2026-03-01,Aracaju,SE,Nordeste,742.0
2020-01-01,Belo Horizonte,MG,Sudeste,601.15
2020-02-01,Belo Horizonte,MG,Sudeste,586.36
2020-03-01,Belo Horizonte,MG,Sudeste,588.92
2020-04-01,Belo Horizonte,MG,Sudeste,577.02
2020-05-01,Belo Horizonte,MG,Sudeste,570.94
2020-06-01,Belo Horizonte,MG,Sudeste,603.47
2020-07-01,Belo Horizonte,MG,Sudeste,594.97
2020-08-01,Belo Horizonte,MG,Sudeste,649.95
2020-09-01,Belo Horizonte,MG,Sudeste,651.87
2020-10-01,Belo Horizonte,MG,Sudeste,650.17
2020-11-01,Belo Horizonte,MG,Sudeste,671.08
2020-12-01,Belo Horizonte,MG,Sudeste,657.35
2021-01-01,Belo Horizonte,MG,Sudeste,611.03
2021-02-01,Belo Horizonte,MG,Sudeste,622.62
2021-03-01,Belo Horizonte,MG,Sudeste,619.83
2021-04-01,Belo Horizonte,MG,Sudeste,613.12
2021-05-01,Belo Horizonte,MG,Sudeste,602.42
2021-06-01,Belo Horizonte,MG,Sudeste,630.18
2021-07-01,Belo Horizonte,MG,Sudeste,610.96
2021-08-01,Belo Horizonte,MG,Sudeste,636.54
2021-09-01,Belo Horizonte,MG,Sudeste,619.17
2021-10-01,Belo Horizonte,MG,Sudeste,630.26
2021-11-01,Belo Horizonte,MG,Sudeste,642.94
2021-12-01,Belo Horizonte,MG,Sudeste,637.75
2022-01-01,Belo Horizonte,MG,Sudeste,658.48
2022-02-01,Belo Horizonte,MG,Sudeste,659.32
2022-03-01,Belo Horizonte,MG,Sudeste,654.22
2022-04-01,Belo Horizonte,MG,Sudeste,645.13
2022-05-01,Belo Horizonte,MG,Sudeste,635.38
2022-06-01,Belo Horizonte,MG,Sudeste,656.22
2022-07-01,Belo Horizonte,MG,Sudeste,641.37
2022-08-01,Belo Horizonte,MG,Sudeste,655.55
2022-09-01,Belo Horizonte,MG,Sudeste,665.0
2022-10-01,Belo Horizonte,MG,Sudeste,661.98
2022-11-01,Belo Horizonte,MG,Sudeste,666.94
2022-12-01,Belo Horizonte,MG,Sudeste,664.13
2023-01-01,Belo Horizonte,MG,Sudeste,690.72
2023-02-01,Belo Horizonte,MG,Sudeste,683.58
2023-03-01,Belo Horizonte,MG,Sudeste,669.59
2023-04-01,Belo Horizonte,MG,Sudeste,672.77
2023-05-01,Belo Horizonte,MG,Sudeste,656.92
2023-06-01,Belo Horizonte,MG,Sudeste,684.87
2023-07-01,Belo Horizonte,MG,Sudeste,675.06
2023-08-01,Belo Horizonte,MG,Sudeste,696.17
2023-09-01,Belo Horizonte,MG,Sudeste,686.41
2023-10-01,Belo Horizonte,MG,Sudeste,692.14
2023-11-01,Belo Horizonte,MG,Sudeste,696.94
2023-12-01,Belo Horizonte,MG,Sudeste,680.78
2024-01-01,Belo Horizonte,MG,Sudeste,707.58
2024-02-01,Belo Horizonte,MG,Sudeste,723.79
2024-03-01,Belo Horizonte,MG,Sudeste,710.97
2024-04-01,Belo Horizonte,MG,Sudeste,698.31
2024-05-01,Belo Horizonte,MG,Sudeste,687.85
2024-06-01,Belo Horizonte,MG,Sudeste,716.61
2024-07-01,Belo Horizonte,MG,Sudeste,720.28
2024-08-01,Belo Horizonte,MG,Sudeste,717.61
2024-09-01,Belo Horizonte,MG,Sudeste,729.69
2024-10-01,Belo Horizonte,MG,Sudeste,717.12
2024-11-01,Belo Horizonte,MG,Sudeste,721.2
2024-12-01,Belo Horizonte,MG,Sudeste,708.11
2025-01-01,Belo Horizonte,MG,Sudeste,752.67
2025-02-01,Belo Horizonte,MG,Sudeste,750.6
2025-03-01,Belo Horizonte,MG,Sudeste,722.69
2025-04-01,Belo Horizonte,MG,Sudeste,713.74
2025-05-01,Belo Horizonte,MG,Sudeste,725.38
2025-06-01,Belo Horizonte,MG,Sudeste,754.59
2025-07-01,Belo Horizonte,MG,Sudeste,750.48
2025-08-01,Belo Horizonte,MG,Sudeste,751.12
2025-09-01,Belo Horizonte,MG,Sudeste,754.22
2025-10-01,Belo Horizonte,MG,Sudeste,758.6
2025-11-01,Belo Horizonte,MG,Sudeste,756.19
2025-12-01,Belo Horizonte,MG,Sudeste,766.9
2026-01-01,Belo Horizonte,MG,Sudeste,788.47
2026-02-01,Belo Horizonte,MG,Sudeste,807.8
2026-03-01,Belo Horizonte,MG,Sudeste,790.0
2020-01-01,Belém,PA,Norte,608.13
2020-02-01,Belém,PA,Norte,621.82
2020-03-01,Belém,PA,Norte,599.46
2020-04-01,Belém,PA,Norte,604.01
2020-05-01,Belém,PA,Norte,590.61
2020-06-01,Belém,PA,Norte,615.39
2020-07-01,Belém,PA,Norte,625.06
2020-08-01,Belém,PA,Norte,645.41
2020-09-01,Belém,PA,Norte,661.4
2020-10-01,Belém,PA,Norte,674.99
2020-11-01,Belém,PA,Norte,671.35
2020-12-01,Belém,PA,Norte,678.56
2021-01-01,Belém,PA,Norte,635.71
2021-02-01,Belém,PA,Norte,643.73
2021-03-01,Belém,PA,Norte,631.63
2021-04-01,Belém,PA,Norte,635.15
2021-05-01,Belém,PA,Norte,630.28
2021-06-01,Belém,PA,Norte,642.99
2021-07-01,Belém,PA,Norte,639.49
2021-08-01,Belém,PA,Norte,641.38
2021-09-01,Belém,PA,Norte,644.33
2021-10-01,Belém,PA,Norte,653.47
2021-11-01,Belém,PA,Norte,649.48
2021-12-01,Belém,PA,Norte,657.7
2022-01-01,Belém,PA,Norte,687.69
2022-02-01,Belém,PA,Norte,680.67
2022-03-01,Belém,PA,Norte,660.45
2022-04-01,Belém,PA,Norte,665.26
2022-05-01,Belém,PA,Norte,654.94
2022-06-01,Belém,PA,Norte,654.52
2022-07-01,Belém,PA,Norte,665.37
2022-08-01,Belém,PA,Norte,661.09
2022-09-01,Belém,PA,Norte,675.87
2022-10-01,Belém,PA,Norte,681.47
2022-11-01,Belém,PA,Norte,697.39
2022-12-01,Belém,PA,Norte,689.25
2023-01-01,Belém,PA,Norte,701.34
2023-02-01,Belém,PA,Norte,712.46
2023-03-01,Belém,PA,Norte,676.99
2023-04-01,Belém,PA,Norte,688.81
2023-05-01,Belém,PA,Norte,695.76
2023-06-01,Belém,PA,Norte,690.99
2023-07-01,Belém,PA,Norte,714.7
2023-08-01,Belém,PA,Norte,711.0
2023-09-01,Belém,PA,Norte,707.73
2023-10-01,Belém,PA,Norte,718.88
2023-11-01,Belém,PA,Norte,734.76
2023-12-01,Belém,PA,Norte,720.84
2024-01-01,Belém,PA,Norte,738.61
2024-02-01,Belém,PA,Norte,735.81
2024-03-01,Belém,PA,Norte,721.01
2024-04-01,Belém,PA,Norte,726.32
2024-05-01,Belém,PA,Norte,715.63
2024-06-01,Belém,PA,Norte,736.91
2024-07-01,Belém,PA,Norte,735.38
2024-08-01,Belém,PA,Norte,745.91
2024-09-01,Belém,PA,Norte,747.63
2024-10-01,Belém,PA,Norte,756.16
2024-11-01,Belém,PA,Norte,746.69
2024-12-01,Belém,PA,Norte,751.53
2025-01-01,Belém,PA,Norte,763.92
2025-02-01,Belém,PA,Norte,771.2
2025-03-01,Belém,PA,Norte,765.53
2025-04-01,Belém,PA,Norte,760.06
2025-05-01,Belém,PA,Norte,750.54
2025-06-01,Belém,PA,Norte,780.46
2025-07-01,Belém,PA,Norte,788.4
2025-08-01,Belém,PA,Norte,784.88
2025-09-01,Belém,PA,Norte,800.74
2025-10-01,Belém,PA,Norte,783.47
2025-11-01,Belém,PA,Norte,783.77
2025-12-01,Belém,PA,Norte,783.57
2026-01-01,Belém,PA,Norte,830.25
2026-02-01,Belém,PA,Norte,827.69
2026-03-01,Belém,PA,Norte,810.0
2020-01-01,Boa Vista,RR,Norte,572.57
2020-02-01,Boa Vista,RR,Norte,567.46
2020-03-01,Boa Vista,RR,Norte,577.22
2020-04-01,Boa Vista,RR,Norte,558.14
2020-05-01,Boa Vista,RR,Norte,552.15
2020-06-01,Boa Vista,RR,Norte,583.61
2020-07-01,Boa Vista,RR,Norte,602.91
2020-08-01,Boa Vista,RR,Norte,632.23
2020-09-01,Boa Vista,RR,Norte,641.67
2020-10-01,Boa Vista,RR,Norte,638.32
2020-11-01,Boa Vista,RR,Norte,639.58
2020-12-01,Boa Vista,RR,Norte,650.45
2021-01-01,Boa Vista,RR,Norte,607.63
2021-02-01,Boa Vista,RR,Norte,614.68
2021-03-01,Boa Vista,RR,Norte,605.65
2021-04-01,Boa Vista,RR,Norte,591.21
2021-05-01,Boa Vista,RR,Norte,607.03
2021-06-01,Boa Vista,RR,Norte,609.4
2021-07-01,Boa Vista,RR,Norte,607.35
2021-08-01,Boa Vista,RR,Norte,620.3
2021-09-01,Boa Vista,RR,Norte,611.43
2021-10-01,Boa Vista,RR,Norte,621.48
2021-11-01,Boa Vista,RR,Norte,623.82
2021-12-01,Boa Vista,RR,Norte,635.23
2022-01-01,Boa Vista,RR,Norte,645.59
2022-02-01,Boa Vista,RR,Norte,644.32
2022-03-01,Boa Vista,RR,Norte,641.11
2022-04-01,Boa Vista,RR,Norte,638.82
2022-05-01,Boa Vista,RR,Norte,634.83
2022-06-01,Boa Vista,RR,Norte,642.77
2022-07-01,Boa Vista,RR,Norte,634.92
2022-08-01,Boa Vista,RR,Norte,639.64
2022-09-01,Boa Vista,RR,Norte,648.47
2022-10-01,Boa Vista,RR,Norte,648.81
2022-11-01,Boa Vista,RR,Norte,654.96
2022-12-01,Boa Vista,RR,Norte,659.7
2023-01-01,Boa Vista,RR,Norte,679.53
2023-02-01,Boa Vista,RR,Norte,677.6
2023-03-01,Boa Vista,RR,Norte,671.58
2023-04-01,Boa Vista,RR,Norte,660.98
2023-05-01,Boa Vista,RR,Norte,647.47
2023-06-01,Boa Vista,RR,Norte,668.72
2023-07-01,Boa Vista,RR,Norte,677.96
2023-08-01,Boa Vista,RR,Norte,672.32
2023-09-01,Boa Vista,RR,Norte,689.69
2023-10-01,Boa Vista,RR,Norte,700.05
2023-11-01,Boa Vista,RR,Norte,700.48
2023-12-01,Boa Vista,RR,Norte,691.96
2024-01-01,Boa Vista,RR,Norte,722.47
2024-02-01,Boa Vista,RR,Norte,714.75
2024-03-01,Boa Vista,RR,Norte,699.85
2024-04-01,Boa Vista,RR,Norte,690.04
2024-05-01,Boa Vista,RR,Norte,695.48
2024-06-01,Boa Vista,RR,Norte,708.43
2024-07-01,Boa Vista,RR,Norte,715.93
2024-08-01,Boa Vista,RR,Norte,718.88
2024-09-01,Boa Vista,RR,Norte,720.67
2024-10-01,Boa Vista,RR,Norte,727.21
2024-11-01,Boa Vista,RR,Norte,736.31
2024-12-01,Boa Vista,RR,Norte,737.47
2025-01-01,Boa Vista,RR,Norte,735.76
2025-02-01,Boa Vista,RR,Norte,730.38
2025-03-01,Boa Vista,RR,Norte,746.69
2025-04-01,Boa Vista,RR,Norte,720.29
2025-05-01,Boa Vista,RR,Norte,731.57
2025-06-01,Boa Vista,RR,Norte,737.38
2025-07-01,Boa Vista,RR,Norte,734.54
2025-08-01,Boa Vista,RR,Norte,755.4
2025-09-01,Boa Vista,RR,Norte,759.31
2025-10-01,Boa Vista,RR,Norte,750.91
2025-11-01,Boa Vista,RR,Norte,737.15
2025-12-01,Boa Vista,RR,Norte,755.57
2026-01-01,Boa Vista,RR,Norte,780.45
2026-02-01,Boa Vista,RR,Norte,767.94
2026-03-01,Boa Vista,RR,Norte,768.0
2020-01-01,Brasília,DF,Centro-Oeste,632.97
2020-02-01,Brasília,DF,Centro-Oeste,646.67
2020-03-01,Brasília,DF,Centro-Oeste,624.14
2020-04-01,Brasília,DF,Centro-Oeste,607.9
2020-05-01,Brasília,DF,Centro-Oeste,635.57
2020-06-01,Brasília,DF,Centro-Oeste,636.54
2020-07-01,Brasília,DF,Centro-Oeste,650.58
2020-08-01,Brasília,DF,Centro-Oeste,682.67
2020-09-01,Brasília,DF,Centro-Oeste,694.14
2020-10-01,Brasília,DF,Centro-Oeste,702.51
2020-11-01,Brasília,DF,Centro-Oeste,706.39
2020-12-01,Brasília,DF,Centro-Oeste,705.98
2021-01-01,Brasília,DF,Centro-Oeste,678.53
2021-02-01,Brasília,DF,Centro-Oeste,668.41
2021-03-01,Brasília,DF,Centro-Oeste,665.89
2021-04-01,Brasília,DF,Centro-Oeste,661.3
2021-05-01,Brasília,DF,Centro-Oeste,667.79
2021-06-01,Brasília,DF,Centro-Oeste,682.88
2021-07-01,Brasília,DF,Centro-Oeste,671.61
2021-08-01,Brasília,DF,Centro-Oeste,671.77
2021-09-01,Brasília,DF,Centro-Oeste,697.72
2021-10-01,Brasília,DF,Centro-Oeste,693.63
2021-11-01,Brasília,DF,Centro-Oeste,688.47
2021-12-01,Brasília,DF,Centro-Oeste,710.38
2022-01-01,Brasília,DF,Centro-Oeste,716.45
2022-02-01,Brasília,DF,Centro-Oeste,728.57
2022-03-01,Brasília,DF,Centro-Oeste,709.14
2022-04-01,Brasília,DF,Centro-Oeste,717.98
2022-05-01,Brasília,DF,Centro-Oeste,719.08
2022-06-01,Brasília,DF,Centro-Oeste,717.4
2022-07-01,Brasília,DF,Centro-Oeste,730.79
2022-08-01,Brasília,DF,Centro-Oeste,731.84
2022-09-01,Brasília,DF,Centro-Oeste,741.29
2022-10-01,Brasília,DF,Centro-Oeste,726.31
2022-11-01,Brasília,DF,Centro-Oeste,743.23
2022-12-01,Brasília,DF,Centro-Oeste,749.93
2023-01-01,Brasília,DF,Centro-Oeste,746.04
2023-02-01,Brasília,DF,Centro-Oeste,754.49
2023-03-01,Brasília,DF,Centro-Oeste,736.44
2023-04-01,Brasília,DF,Centro-Oeste,743.06
2023-05-01,Brasília,DF,Centro-Oeste,754.71
2023-06-01,Brasília,DF,Centro-Oeste,776.24
2023-07-01,Brasília,DF,Centro-Oeste,768.67
2023-08-01,Brasília,DF,Centro-Oeste,784.99
2023-09-01,Brasília,DF,Centro-Oeste,764.82
2023-10-01,Brasília,DF,Centro-Oeste,766.15
2023-11-01,Brasília,DF,Centro-Oeste,783.27
2023-12-01,Brasília,DF,Centro-Oeste,790.75
2024-01-01,Brasília,DF,Centro-Oeste,807.22
2024-02-01,Brasília,DF,Centro-Oeste,795.02
2024-03-01,Brasília,DF,Centro-Oeste,798.96
2024-04-01,Brasília,DF,Centro-Oeste,781.22
2024-05-01,Brasília,DF,Centro-Oeste,801.01
2024-06-01,Brasília,DF,Centro-Oeste,814.78
2024-07-01,Brasília,DF,Centro-Oeste,808.43
2024-08-01,Brasília,DF,Centro-Oeste,815.96
2024-09-01,Brasília,DF,Centro-Oeste,815.74
2024-10-01,Brasília,DF,Centro-Oeste,827.87
2024-11-01,Brasília,DF,Centro-Oeste,840.2
2024-12-01,Brasília,DF,Centro-Oeste,828.88
2025-01-01,Brasília,DF,Centro-Oeste,861.84
2025-02-01,Brasília,DF,Centro-Oeste,857.9
2025-03-01,Brasília,DF,Centro-Oeste,843.16
2025-04-01,Brasília,DF,Centro-Oeste,840.13
2025-05-01,Brasília,DF,Centro-Oeste,831.22
2025-06-01,Brasília,DF,Centro-Oeste,846.25
2025-07-01,Brasília,DF,Centro-Oeste,839.59
2025-08-01,Brasília,DF,Centro-Oeste,862.58
2025-09-01,Brasília,DF,Centro-Oeste,845.84
2025-10-01,Brasília,DF,Centro-Oeste,838.44
2025-11-01,Brasília,DF,Centro-Oeste,843.63
2025-12-01,Brasília,DF,Centro-Oeste,839.31
2026-01-01,Brasília,DF,Centro-Oeste,853.39
2026-02-01,Brasília,DF,Centro-Oeste,857.66
2026-03-01,Brasília,DF,Centro-Oeste,840.0
2020-01-01,Campo Grande,MS,Centro-Oeste,605.28
2020-02-01,Campo Grande,MS,Centro-Oeste,627.36
2020-03-01,Campo Grande,MS,Centro-Oeste,595.03
2020-04-01,Campo Grande,MS,Centro-Oeste,590.38
2020-05-01,Campo Grande,MS,Centro-Oeste,606.57
2020-06-01,Campo Grande,MS,Centro-Oeste,608.42
2020-07-01,Campo Grande,MS,Centro-Oeste,607.8
2020-08-01,Campo Grande,MS,Centro-Oeste,660.65
2020-09-01,Campo Grande,MS,Centro-Oeste,661.69
2020-10-01,Campo Grande,MS,Centro-Oeste,653.16
2020-11-01,Campo Grande,MS,Centro-Oeste,654.14
2020-12-01,Campo Grande,MS,Centro-Oeste,682.57
2021-01-01,Campo Grande,MS,Centro-Oeste,634.34
2021-02-01,Campo Grande,MS,Centro-Oeste,636.15
2021-03-01,Campo Grande,MS,Centro-Oeste,624.61
2021-04-01,Campo Grande,MS,Centro-Oeste,624.61
2021-05-01,Campo Grande,MS,Centro-Oeste,641.1
2021-06-01,Campo Grande,MS,Centro-Oeste,636.9
2021-07-01,Campo Grande,MS,Centro-Oeste,630.49
2021-08-01,Campo Grande,MS,Centro-Oeste,636.62
2021-09-01,Campo Grande,MS,Centro-Oeste,648.75
2021-10-01,Campo Grande,MS,Centro-Oeste,638.03
2021-11-01,Campo Grande,MS,Centro-Oeste,652.03
2021-12-01,Campo Grande,MS,Centro-Oeste,629.17
2022-01-01,Campo Grande,MS,Centro-Oeste,661.45
2022-02-01,Campo Grande,MS,Centro-Oeste,670.91
2022-03-01,Campo Grande,MS,Centro-Oeste,665.55
2022-04-01,Campo Grande,MS,Centro-Oeste,641.54
2022-05-01,Campo Grande,MS,Centro-Oeste,638.61
2022-06-01,Campo Grande,MS,Centro-Oeste,661.04
2022-07-01,Campo Grande,MS,Centro-Oeste,656.72
2022-08-01,Campo Grande,MS,Centro-Oeste,667.14
2022-09-01,Campo Grande,MS,Centro-Oeste,670.9
2022-10-01,Campo Grande,MS,Centro-Oeste,663.03
2022-11-01,Campo Grande,MS,Centro-Oeste,682.66
2022-12-01,Campo Grande,MS,Centro-Oeste,677.62
2023-01-01,Campo Grande,MS,Centro-Oeste,703.81
2023-02-01,Campo Grande,MS,Centro-Oeste,683.13
2023-03-01,Campo Grande,MS,Centro-Oeste,678.75
2023-04-01,Campo Grande,MS,Centro-Oeste,683.37
2023-05-01,Campo Grande,MS,Centro-Oeste,675.51
2023-06-01,Campo Grande,MS,Centro-Oeste,693.68
2023-07-01,Campo Grande,MS,Centro-Oeste,697.73
2023-08-01,Campo Grande,MS,Centro-Oeste,701.72
2023-09-01,Campo Grande,MS,Centro-Oeste,697.78
2023-10-01,Campo Grande,MS,Centro-Oeste,707.16
2023-11-01,Campo Grande,MS,Centro-Oeste,702.47
2023-12-01,Campo Grande,MS,Centro-Oeste,716.9
2024-01-01,Campo Grande,MS,Centro-Oeste,727.66
2024-02-01,Campo Grande,MS,Centro-Oeste,732.68
2024-03-01,Campo Grande,MS,Centro-Oeste,740.47
2024-04-01,Campo Grande,MS,Centro-Oeste,703.03
2024-05-01,Campo Grande,MS,Centro-Oeste,725.79
2024-06-01,Campo Grande,MS,Centro-Oeste,707.13
2024-07-01,Campo Grande,MS,Centro-Oeste,714.63
2024-08-01,Campo Grande,MS,Centro-Oeste,724.2
2024-09-01,Campo Grande,MS,Centro-Oeste,727.59
2024-10-01,Campo Grande,MS,Centro-Oeste,741.52
2024-11-01,Campo Grande,MS,Centro-Oeste,745.11
2024-12-01,Campo Grande,MS,Centro-Oeste,743.67
2025-01-01,Campo Grande,MS,Centro-Oeste,762.4
2025-02-01,Campo Grande,MS,Centro-Oeste,770.82
2025-03-01,Campo Grande,MS,Centro-Oeste,761.18
2025-04-01,Campo Grande,MS,Centro-Oeste,735.49
2025-05-01,Campo Grande,MS,Centro-Oeste,746.58
2025-06-01,Campo Grande,MS,Centro-Oeste,763.77
2025-07-01,Campo Grande,MS,Centro-Oeste,771.67
2025-08-01,Campo Grande,MS,Centro-Oeste,765.06
2025-09-01,Campo Grande,MS,Centro-Oeste,774.02
2025-10-01,Campo Grande,MS,Centro-Oeste,778.48
2025-11-01,Campo Grande,MS,Centro-Oeste,776.09
2025-12-01,Campo Grande,MS,Centro-Oeste,779.43
2026-01-01,Campo Grande,MS,Centro-Oeste,805.4
2026-02-01,Campo Grande,MS,Centro-Oeste,807.19
2026-03-01,Campo Grande,MS,Centro-Oeste,800.0
2020-01-01,Cuiabá,MT,Centro-Oeste,599.93
2020-02-01,Cuiabá,MT,Centro-Oeste,581.79
2020-03-01,Cuiabá,MT,Centro-Oeste,586.12
2020-04-01,Cuiabá,MT,Centro-Oeste,582.21
2020-05-01,Cuiabá,MT,Centro-Oeste,580.47
2020-06-01,Cuiabá,MT,Centro-Oeste,590.66
2020-07-01,Cuiabá,MT,Centro-Oeste,594.08
2020-08-01,Cuiabá,MT,Centro-Oeste,649.49
2020-09-01,Cuiabá,MT,Centro-Oeste,636.99
2020-10-01,Cuiabá,MT,Centro-Oeste,662.58
2020-11-01,Cuiabá,MT,Centro-Oeste,654.43
2020-12-01,Cuiabá,MT,Centro-Oeste,662.71
2021-01-01,Cuiabá,MT,Centro-Oeste,631.12
2021-02-01,Cuiabá,MT,Centro-Oeste,627.25
2021-03-01,Cuiabá,MT,Centro-Oeste,621.24
2021-04-01,Cuiabá,MT,Centro-Oeste,599.87
2021-05-01,Cuiabá,MT,Centro-Oeste,625.21
2021-06-01,Cuiabá,MT,Centro-Oeste,640.7
2021-07-01,Cuiabá,MT,Centro-Oeste,621.74
2021-08-01,Cuiabá,MT,Centro-Oeste,635.4
2021-09-01,Cuiabá,MT,Centro-Oeste,632.14
2021-10-01,Cuiabá,MT,Centro-Oeste,643.89
2021-11-01,Cuiabá,MT,Centro-Oeste,653.86
2021-12-01,Cuiabá,MT,Centro-Oeste,659.95
2022-01-01,Cuiabá,MT,Centro-Oeste,677.52
2022-02-01,Cuiabá,MT,Centro-Oeste,682.51
2022-03-01,Cuiabá,MT,Centro-Oeste,660.5
2022-04-01,Cuiabá,MT,Centro-Oeste,646.56
2022-05-01,Cuiabá,MT,Centro-Oeste,658.24
2022-06-01,Cuiabá,MT,Centro-Oeste,677.74
2022-07-01,Cuiabá,MT,Centro-Oeste,666.35
2022-08-01,Cuiabá,MT,Centro-Oeste,692.97
2022-09-01,Cuiabá,MT,Centro-Oeste,690.41
2022-10-01,Cuiabá,MT,Centro-Oeste,685.13
2022-11-01,Cuiabá,MT,Centro-Oeste,684.67
2022-12-01,Cuiabá,MT,Centro-Oeste,688.6
2023-01-01,Cuiabá,MT,Centro-Oeste,712.1
2023-02-01,Cuiabá,MT,Centro-Oeste,713.38
2023-03-01,Cuiabá,MT,Centro-Oeste,712.44
2023-04-01,Cuiabá,MT,Centro-Oeste,695.13
2023-05-01,Cuiabá,MT,Centro-Oeste,705.55
2023-06-01,Cuiabá,MT,Centro-Oeste,715.67
2023-07-01,Cuiabá,MT,Centro-Oeste,721.78
2023-08-01,Cuiabá,MT,Centro-Oeste,721.53
2023-09-01,Cuiabá,MT,Centro-Oeste,732.79
2023-10-01,Cuiabá,MT,Centro-Oeste,736.7
2023-11-01,Cuiabá,MT,Centro-Oeste,738.4
2023-12-01,Cuiabá,MT,Centro-Oeste,743.4
2024-01-01,Cuiabá,MT,Centro-Oeste,749.68
2024-02-01,Cuiabá,MT,Centro-Oeste,763.76
2024-03-01,Cuiabá,MT,Centro-Oeste,760.12
2024-04-01,Cuiabá,MT,Centro-Oeste,746.65
2024-05-01,Cuiabá,MT,Centro-Oeste,738.34
2024-06-01,Cuiabá,MT,Centro-Oeste,761.5
2024-07-01,Cuiabá,MT,Centro-Oeste,768.87
2024-08-01,Cuiabá,MT,Centro-Oeste,763.79
2024-09-01,Cuiabá,MT,Centro-Oeste,762.99
2024-10-01,Cuiabá,MT,Centro-Oeste,775.36
2024-11-01,Cuiabá,MT,Centro-Oeste,776.01
2024-12-01,Cuiabá,MT,Centro-Oeste,785.89
2025-01-01,Cuiabá,MT,Centro-Oeste,793.16
2025-02-01,Cuiabá,MT,Centro-Oeste,814.6
2025-03-01,Cuiabá,MT,Centro-Oeste,793.26
2025-04-01,Cuiabá,MT,Centro-Oeste,798.42
2025-05-01,Cuiabá,MT,Centro-Oeste,786.63
