data,capital,estado,regiao,custo,fonte_dado
2021-03-01,Belém,PA,Norte,515.77,real_dieese
2021-04-01,Belém,PA,Norte,505.87,real_dieese
2021-05-01,Belém,PA,Norte,515.84,real_dieese
2021-06-01,Belém,PA,Norte,518.53,real_dieese
2021-07-01,Belém,PA,Norte,522.66,real_dieese
2021-08-01,Belém,PA,Norte,530.13,real_dieese
2021-09-01,Belém,PA,Norte,532.56,real_dieese
2021-10-01,Belém,PA,Norte,538.44,real_dieese
2021-11-01,Belém,PA,Norte,550.64,real_dieese
2021-12-01,Belém,PA,Norte,556.87,real_dieese
2022-01-01,Belém,PA,Norte,563.97,real_dieese
2022-02-01,Belém,PA,Norte,574.86,real_dieese
2022-03-01,Belém,PA,Norte,585.91,real_dieese
2022-04-01,Belém,PA,Norte,610.31,real_dieese
2022-05-01,Belém,PA,Norte,628.58,real_dieese
2022-06-01,Belém,PA,Norte,632.26,real_dieese
2022-07-01,Belém,PA,Norte,633.14,real_dieese
2022-08-01,Belém,PA,Norte,634.85,real_dieese
2022-09-01,Belém,PA,Norte,622.46,real_dieese
2022-10-01,Belém,PA,Norte,615.22,real_dieese
2022-11-01,Belém,PA,Norte,624.29,real_dieese
2022-12-01,Belém,PA,Norte,639.44,real_dieese
2023-01-01,Belém,PA,Norte,654.81,real_dieese
2023-02-01,Belém,PA,Norte,662.98,real_dieese
2023-03-01,Belém,PA,Norte,664.54,real_dieese
2023-04-01,Belém,PA,Norte,660.77,real_dieese
2023-05-01,Belém,PA,Norte,669.8,real_dieese
2023-06-01,Belém,PA,Norte,659.89,real_dieese
2023-07-01,Belém,PA,Norte,650.42,real_dieese
2023-08-01,Belém,PA,Norte,640.11,real_dieese
2023-09-01,Belém,PA,Norte,633.53,real_dieese
2023-10-01,Belém,PA,Norte,632.92,real_dieese
2023-11-01,Belém,PA,Norte,635.18,real_dieese
2023-12-01,Belém,PA,Norte,645.44,real_dieese
2024-01-01,Belém,PA,Norte,656.78,real_dieese
2024-02-01,Belém,PA,Norte,665.12,real_dieese
2024-03-01,Belém,PA,Norte,667.53,real_dieese
2024-04-01,Belém,PA,Norte,681.45,real_dieese
2024-05-01,Belém,PA,Norte,690.98,real_dieese
2024-06-01,Belém,PA,Norte,695.58,real_dieese
2024-07-01,Belém,PA,Norte,682.39,real_dieese
2024-08-01,Belém,PA,Norte,664.92,real_dieese
2024-09-01,Belém,PA,Norte,647.79,real_dieese
2024-10-01,Belém,PA,Norte,649.9,real_dieese
2024-11-01,Belém,PA,Norte,663.02,real_dieese
2024-12-01,Belém,PA,Norte,665.83,real_dieese
2025-01-01,Belém,PA,Norte,697.81,real_dieese
2025-02-01,Belém,PA,Norte,700.06,real_dieese
2025-03-01,Belém,PA,Norte,704.9,real_dieese
2025-04-01,Belém,PA,Norte,726.21,real_dieese
2025-05-01,Belém,PA,Norte,726.38,real_dieese
2025-06-01,Belém,PA,Norte,709.04,real_dieese
2025-07-01,Belém,PA,Norte,696.23,real_dieese
2025-08-01,Belém,PA,Norte,687.3,real_dieese
2025-09-01,Belém,PA,Norte,672.84,real_dieese
2025-10-01,Belém,PA,Norte,664.31,real_dieese
2025-11-01,Belém,PA,Norte,666.15,real_dieese
2025-12-01,Belém,PA,Norte,666.57,real_dieese
2026-01-01,Belém,PA,Norte,673.55,real_dieese
2026-02-01,Belém,PA,Norte,674.12,real_dieese
2026-03-01,Belém,PA,Norte,700.68,real_dieese
2020-01-01,Boa Vista,RR,Norte,555.17,simulado_calibrado
2020-02-01,Boa Vista,RR,Norte,564.72,simulado_calibrado
2020-03-01,Boa Vista,RR,Norte,555.84,simulado_calibrado
2020-04-01,Boa Vista,RR,Norte,553.51,simulado_calibrado
2020-05-01,Boa Vista,RR,Norte,547.9,simulado_calibrado
2020-06-01,Boa Vista,RR,Norte,558.96,simulado_calibrado
2020-07-01,Boa Vista,RR,Norte,561.12,simulado_calibrado
2020-08-01,Boa Vista,RR,Norte,607.08,simulado_calibrado
2020-09-01,Boa Vista,RR,Norte,601.25,simulado_calibrado
2020-10-01,Boa Vista,RR,Norte,621.69,simulado_calibrado
2020-11-01,Boa Vista,RR,Norte,623.66,simulado_calibrado
2020-12-01,Boa Vista,RR,Norte,614.6,simulado_calibrado
2021-01-01,Boa Vista,RR,Norte,588.03,simulado_calibrado
2021-02-01,Boa Vista,RR,Norte,588.97,simulado_calibrado
2021-03-01,Boa Vista,RR,Norte,580.03,simulado_calibrado
2021-04-01,Boa Vista,RR,Norte,566.55,simulado_calibrado
2021-05-01,Boa Vista,RR,Norte,576.57,simulado_calibrado
2021-06-01,Boa Vista,RR,Norte,594.05,simulado_calibrado
2021-07-01,Boa Vista,RR,Norte,606.38,simulado_calibrado
2021-08-01,Boa Vista,RR,Norte,598.09,simulado_calibrado
2021-09-01,Boa Vista,RR,Norte,599.28,simulado_calibrado
2021-10-01,Boa Vista,RR,Norte,598.65,simulado_calibrado
2021-11-01,Boa Vista,RR,Norte,600.79,simulado_calibrado
2021-12-01,Boa Vista,RR,Norte,611.11,simulado_calibrado
2022-01-01,Boa Vista,RR,Norte,622.6,simulado_calibrado
2022-02-01,Boa Vista,RR,Norte,620.62,simulado_calibrado
2022-03-01,Boa Vista,RR,Norte,609.07,simulado_calibrado
2022-04-01,Boa Vista,RR,Norte,606.74,simulado_calibrado
2022-05-01,Boa Vista,RR,Norte,607.48,simulado_calibrado
2022-06-01,Boa Vista,RR,Norte,622.06,simulado_calibrado
2022-07-01,Boa Vista,RR,Norte,623.6,simulado_calibrado
2022-08-01,Boa Vista,RR,Norte,629.36,simulado_calibrado
2022-09-01,Boa Vista,RR,Norte,623.77,simulado_calibrado
2022-10-01,Boa Vista,RR,Norte,638.24,simulado_calibrado
2022-11-01,Boa Vista,RR,Norte,649.38,simulado_calibrado
2022-12-01,Boa Vista,RR,Norte,644.17,simulado_calibrado
2023-01-01,Boa Vista,RR,Norte,654.84,simulado_calibrado
2023-02-01,Boa Vista,RR,Norte,660.95,simulado_calibrado
2023-03-01,Boa Vista,RR,Norte,641.37,simulado_calibrado
2023-04-01,Boa Vista,RR,Norte,631.53,simulado_calibrado
2023-05-01,Boa Vista,RR,Norte,646.04,simulado_calibrado
2023-06-01,Boa Vista,RR,Norte,652.05,simulado_calibrado
2023-07-01,Boa Vista,RR,Norte,650.8,simulado_calibrado
2023-08-01,Boa Vista,RR,Norte,655.94,simulado_calibrado
2023-09-01,Boa Vista,RR,Norte,657.51,simulado_calibrado
2023-10-01,Boa Vista,RR,Norte,666.67,simulado_calibrado
2023-11-01,Boa Vista,RR,Norte,671.76,simulado_calibrado
2023-12-01,Boa Vista,RR,Norte,676.14,simulado_calibrado
2024-01-01,Boa Vista,RR,Norte,692.54,simulado_calibrado
2024-02-01,Boa Vista,RR,Norte,694.78,simulado_calibrado
2024-03-01,Boa Vista,RR,Norte,679.31,simulado_calibrado
2024-04-01,Boa Vista,RR,Norte,669.89,simulado_calibrado
2024-05-01,Boa Vista,RR,Norte,668.34,simulado_calibrado
2024-06-01,Boa Vista,RR,Norte,694.6,simulado_calibrado
2024-07-01,Boa Vista,RR,Norte,691.16,simulado_calibrado
2024-08-01,Boa Vista,RR,Norte,692.96,simulado_calibrado
2024-09-01,Boa Vista,RR,Norte,703.87,simulado_calibrado
2024-10-01,Boa Vista,RR,Norte,696.47,simulado_calibrado
2024-11-01,Boa Vista,RR,Norte,708.13,simulado_calibrado
2024-12-01,Boa Vista,RR,Norte,708.44,simulado_calibrado
2025-01-01,Boa Vista,RR,Norte,718.99,simulado_calibrado
2025-02-01,Boa Vista,RR,Norte,726.9,simulado_calibrado
2025-03-01,Boa Vista,RR,Norte,720.93,simulado_calibrado
2025-04-01,Boa Vista,RR,Norte,719.12,real_dieese
2025-05-01,Boa Vista,RR,Norte,723.5,real_dieese
2025-06-01,Boa Vista,RR,Norte,717.24,real_dieese
2025-07-01,Boa Vista,RR,Norte,712.83,real_dieese
2025-08-01,Boa Vista,RR,Norte,693.84,real_dieese
2025-09-01,Boa Vista,RR,Norte,681.95,real_dieese
2025-10-01,Boa Vista,RR,Norte,678.95,real_dieese
2025-11-01,Boa Vista,RR,Norte,669.19,real_dieese
2025-12-01,Boa Vista,RR,Norte,652.14,real_dieese
2026-01-01,Boa Vista,RR,Norte,655.79,real_dieese
2026-02-01,Boa Vista,RR,Norte,659.19,real_dieese
2026-03-01,Boa Vista,RR,Norte,680.01,real_dieese
2020-01-01,Brasília,DF,Centro-Oeste,483.17,real_dieese
2020-02-01,Brasília,DF,Centro-Oeste,481.78,real_dieese
2020-03-01,Brasília,DF,Centro-Oeste,484.15,real_dieese
2020-04-01,Brasília,DF,Centro-Oeste,471.17,real_dieese
2020-05-01,Brasília,DF,Centro-Oeste,441.09,real_dieese
2020-06-01,Brasília,DF,Centro-Oeste,450.45,real_dieese
2020-07-01,Brasília,DF,Centro-Oeste,449.96,real_dieese
2020-08-01,Brasília,DF,Centro-Oeste,443.28,real_dieese
2020-09-01,Brasília,DF,Centro-Oeste,445.76,real_dieese
2020-10-01,Brasília,DF,Centro-Oeste,490.48,real_dieese
2020-11-01,Brasília,DF,Centro-Oeste,572.64,real_dieese
2020-12-01,Brasília,DF,Centro-Oeste,591.82,real_dieese
2021-01-01,Brasília,DF,Centro-Oeste,614.31,real_dieese
2021-02-01,Brasília,DF,Centro-Oeste,591.44,real_dieese
2021-03-01,Brasília,DF,Centro-Oeste,580.76,real_dieese
2021-04-01,Brasília,DF,Centro-Oeste,587.33,real_dieese
2021-05-01,Brasília,DF,Centro-Oeste,588.24,real_dieese
2021-06-01,Brasília,DF,Centro-Oeste,584.99,real_dieese
2021-07-01,Brasília,DF,Centro-Oeste,582.35,real_dieese
2021-08-01,Brasília,DF,Centro-Oeste,594.59,real_dieese
2021-09-01,Brasília,DF,Centro-Oeste,617.65,real_dieese
2021-10-01,Brasília,DF,Centro-Oeste,644.09,real_dieese
2021-11-01,Brasília,DF,Centro-Oeste,631.95,real_dieese
2021-12-01,Brasília,DF,Centro-Oeste,621.56,real_dieese
2022-01-01,Brasília,DF,Centro-Oeste,661.09,real_dieese
2022-02-01,Brasília,DF,Centro-Oeste,670.98,real_dieese
2022-03-01,Brasília,DF,Centro-Oeste,704.65,real_dieese
2022-04-01,Brasília,DF,Centro-Oeste,741.55,real_dieese
2022-05-01,Brasília,DF,Centro-Oeste,696.34,real_dieese
2022-06-01,Brasília,DF,Centro-Oeste,698.36,real_dieese
2022-07-01,Brasília,DF,Centro-Oeste,703.93,real_dieese
2022-08-01,Brasília,DF,Centro-Oeste,689.31,real_dieese
2022-09-01,Brasília,DF,Centro-Oeste,687.21,real_dieese
2022-10-01,Brasília,DF,Centro-Oeste,699.09,real_dieese
2022-11-01,Brasília,DF,Centro-Oeste,712.2,real_dieese
2022-12-01,Brasília,DF,Centro-Oeste,728.78,real_dieese
2023-01-01,Brasília,DF,Centro-Oeste,729.73,real_dieese
2023-02-01,Brasília,DF,Centro-Oeste,719.74,real_dieese
2023-03-01,Brasília,DF,Centro-Oeste,693.32,real_dieese
2023-04-01,Brasília,DF,Centro-Oeste,717.09,real_dieese
2023-05-01,Brasília,DF,Centro-Oeste,703.43,real_dieese
2023-06-01,Brasília,DF,Centro-Oeste,687.33,real_dieese
2023-07-01,Brasília,DF,Centro-Oeste,687.58,real_dieese
2023-08-01,Brasília,DF,Centro-Oeste,689.98,real_dieese
2023-09-01,Brasília,DF,Centro-Oeste,662.2,real_dieese
2023-10-01,Brasília,DF,Centro-Oeste,647.76,real_dieese
2023-11-01,Brasília,DF,Centro-Oeste,667.58,real_dieese
2023-12-01,Brasília,DF,Centro-Oeste,698.74,real_dieese
2024-01-01,Brasília,DF,Centro-Oeste,742.52,real_dieese
2024-02-01,Brasília,DF,Centro-Oeste,741.91,real_dieese
2024-03-01,Brasília,DF,Centro-Oeste,747.68,real_dieese
2024-04-01,Brasília,DF,Centro-Oeste,727.95,real_dieese
2024-05-01,Brasília,DF,Centro-Oeste,737.37,real_dieese
2024-06-01,Brasília,DF,Centro-Oeste,738.93,real_dieese
2024-07-01,Brasília,DF,Centro-Oeste,694.31,real_dieese
2024-08-01,Brasília,DF,Centro-Oeste,673.14,real_dieese
2024-09-01,Brasília,DF,Centro-Oeste,682.51,real_dieese
2024-10-01,Brasília,DF,Centro-Oeste,711.05,real_dieese
2024-11-01,Brasília,DF,Centro-Oeste,742.25,real_dieese
2024-12-01,Brasília,DF,Centro-Oeste,743.19,real_dieese
2025-01-01,Brasília,DF,Centro-Oeste,756.03,real_dieese
2025-02-01,Brasília,DF,Centro-Oeste,772.3,real_dieese
2025-03-01,Brasília,DF,Centro-Oeste,782.65,real_dieese
2025-04-01,Brasília,DF,Centro-Oeste,775.84,real_dieese
2025-05-01,Brasília,DF,Centro-Oeste,774.33,real_dieese
2025-06-01,Brasília,DF,Centro-Oeste,773.35,real_dieese
2025-07-01,Brasília,DF,Centro-Oeste,758.19,real_dieese
2025-08-01,Brasília,DF,Centro-Oeste,739.1,real_dieese
2025-09-01,Brasília,DF,Centro-Oeste,719.81,real_dieese
2025-10-01,Brasília,DF,Centro-Oeste,717.65,real_dieese
2025-11-01,Brasília,DF,Centro-Oeste,703.4,real_dieese
2025-12-01,Brasília,DF,Centro-Oeste,714.21,real_dieese
2026-01-01,Brasília,DF,Centro-Oeste,725.98,real_dieese
2026-02-01,Brasília,DF,Centro-Oeste,712.06,real_dieese
2026-03-01,Brasília,DF,Centro-Oeste,746.41,real_dieese
2020-01-01,Campo Grande,MS,Centro-Oeste,458.0,real_dieese
2020-02-01,Campo Grande,MS,Centro-Oeste,445.4,real_dieese
2020-03-01,Campo Grande,MS,Centro-Oeste,474.53,real_dieese
2020-04-01,Campo Grande,MS,Centro-Oeste,495.69,real_dieese
2020-05-01,Campo Grande,MS,Centro-Oeste,455.35,real_dieese
2020-06-01,Campo Grande,MS,Centro-Oeste,475.01,real_dieese
2020-07-01,Campo Grande,MS,Centro-Oeste,479.79,real_dieese
2020-08-01,Campo Grande,MS,Centro-Oeste,484.46,real_dieese
2020-09-01,Campo Grande,MS,Centro-Oeste,492.8,real_dieese
2020-10-01,Campo Grande,MS,Centro-Oeste,520.12,real_dieese
2020-11-01,Campo Grande,MS,Centro-Oeste,589.08,real_dieese
2020-12-01,Campo Grande,MS,Centro-Oeste,576.48,real_dieese
2021-01-01,Campo Grande,MS,Centro-Oeste,578.62,real_dieese
2021-02-01,Campo Grande,MS,Centro-Oeste,551.58,real_dieese
2021-03-01,Campo Grande,MS,Centro-Oeste,552.99,real_dieese
2021-04-01,Campo Grande,MS,Centro-Oeste,586.26,real_dieese
2021-05-01,Campo Grande,MS,Centro-Oeste,575.01,real_dieese
2021-06-01,Campo Grande,MS,Centro-Oeste,566.78,real_dieese
2021-07-01,Campo Grande,MS,Centro-Oeste,588.84,real_dieese
2021-08-01,Campo Grande,MS,Centro-Oeste,609.33,real_dieese
2021-09-01,Campo Grande,MS,Centro-Oeste,630.83,real_dieese
2021-10-01,Campo Grande,MS,Centro-Oeste,653.4,real_dieese
2021-11-01,Campo Grande,MS,Centro-Oeste,645.17,real_dieese
2021-12-01,Campo Grande,MS,Centro-Oeste,641.37,real_dieese
2022-01-01,Campo Grande,MS,Centro-Oeste,660.11,real_dieese
2022-02-01,Campo Grande,MS,Centro-Oeste,678.43,real_dieese
2022-03-01,Campo Grande,MS,Centro-Oeste,715.81,real_dieese
2022-04-01,Campo Grande,MS,Centro-Oeste,761.73,real_dieese
2022-05-01,Campo Grande,MS,Centro-Oeste,706.12,real_dieese
2022-06-01,Campo Grande,MS,Centro-Oeste,702.65,real_dieese
2022-07-01,Campo Grande,MS,Centro-Oeste,707.0,real_dieese
2022-08-01,Campo Grande,MS,Centro-Oeste,698.31,real_dieese
2022-09-01,Campo Grande,MS,Centro-Oeste,711.09,real_dieese
2022-10-01,Campo Grande,MS,Centro-Oeste,733.65,real_dieese
2022-11-01,Campo Grande,MS,Centro-Oeste,738.53,real_dieese
2022-12-01,Campo Grande,MS,Centro-Oeste,744.21,real_dieese
2023-01-01,Campo Grande,MS,Centro-Oeste,743.09,real_dieese
2023-02-01,Campo Grande,MS,Centro-Oeste,719.94,real_dieese
2023-03-01,Campo Grande,MS,Centro-Oeste,719.15,real_dieese
2023-04-01,Campo Grande,MS,Centro-Oeste,737.74,real_dieese
2023-05-01,Campo Grande,MS,Centro-Oeste,724.09,real_dieese
2023-06-01,Campo Grande,MS,Centro-Oeste,730.19,real_dieese
2023-07-01,Campo Grande,MS,Centro-Oeste,698.31,real_dieese
2023-08-01,Campo Grande,MS,Centro-Oeste,691.7,real_dieese
2023-09-01,Campo Grande,MS,Centro-Oeste,675.68,real_dieese
2023-10-01,Campo Grande,MS,Centro-Oeste,682.97,real_dieese
2023-11-01,Campo Grande,MS,Centro-Oeste,674.79,real_dieese
2023-12-01,Campo Grande,MS,Centro-Oeste,697.69,real_dieese
2024-01-01,Campo Grande,MS,Centro-Oeste,736.76,real_dieese
2024-02-01,Campo Grande,MS,Centro-Oeste,748.2,real_dieese
